t, ir, imu 
62.89000, 214.00000, 21760.00000
62.94000, 208.00000, 21464.00000
62.99000, 188.00000, 21508.00000
63.04000, 209.00000, 21704.00000
63.09000, 212.00000, 21518.00000
63.14000, 210.00000, 21482.00000
63.19000, 210.00000, 21666.00000
63.24000, 210.00000, 21498.00000
63.29000, 211.00000, 21478.00000
63.34000, 208.00000, 21542.00000
63.39000, 208.00000, 21524.00000
63.44000, 214.00000, 21574.00000
63.49000, 215.00000, 21612.00000
63.54000, 210.00000, 21460.00000
63.59000, 218.00000, 21532.00000
63.64000, 206.00000, 21588.00000
63.69000, 220.00000, 21550.00000
63.74000, 220.00000, 21614.00000
63.79000, 220.00000, 21438.00000
63.84000, 220.00000, 21578.00000
63.89000, 223.00000, 21514.00000
63.94000, 221.00000, 21484.00000
63.99000, 223.00000, 21682.00000
64.04000, 222.00000, 21586.00000
64.09000, 226.00000, 21494.00000
64.14000, 225.00000, 21522.00000
64.19000, 225.00000, 21528.00000
64.24000, 212.00000, 21564.00000
64.29000, 228.00000, 21598.00000
64.34000, 229.00000, 21484.00000
64.39000, 229.00000, 21518.00000
64.44000, 226.00000, 21542.00000
64.49000, 230.00000, 21616.00000
64.54000, 228.00000, 21592.00000
64.59000, 228.00000, 21644.00000
64.64000, 231.00000, 21518.00000
64.69000, 225.00000, 21526.00000
64.74000, 231.00000, 21580.00000
64.79000, 231.00000, 21540.00000
64.84000, 230.00000, 21512.00000
64.89000, 234.00000, 21540.00000
64.94000, 233.00000, 21600.00000
64.99000, 231.00000, 21594.00000
65.04000, 232.00000, 21440.00000
65.09000, 235.00000, 22230.00000
65.14000, 233.00000, 21616.00000
65.19000, 232.00000, 22308.00000
65.24000, 235.00000, 20888.00000
65.29000, 236.00000, 22830.00000
65.34000, 232.00000, 21028.00000
65.39000, 236.00000, 21450.00000
65.44000, 236.00000, 21982.00000
65.49000, 238.00000, 21320.00000
65.54000, 235.00000, 21544.00000
65.59000, 237.00000, 21612.00000
65.64000, 236.00000, 21492.00000
65.69000, 240.00000, 21570.00000
65.74000, 237.00000, 21654.00000
65.79000, 234.00000, 21524.00000
65.84000, 243.00000, 21590.00000
65.89000, 243.00000, 21442.00000
65.94000, 238.00000, 21562.00000
65.99000, 241.00000, 21602.00000
66.04000, 251.00000, 21984.00000
66.09000, 259.00000, 21744.00000
66.14000, 258.00000, 21522.00000
66.19000, 249.00000, 21678.00000
66.24000, 254.00000, 21754.00000
66.29000, 255.00000, 21506.00000
66.34000, 254.00000, 21650.00000
66.39000, 258.00000, 21622.00000
66.44000, 261.00000, 21508.00000
66.49000, 261.00000, 21642.00000
66.54000, 249.00000, 21624.00000
66.59000, 266.00000, 21602.00000
66.64000, 269.00000, 21592.00000
66.69000, 269.00000, 21632.00000
66.74000, 270.00000, 21678.00000
66.79000, 268.00000, 21522.00000
66.84000, 273.00000, 21612.00000
66.89000, 272.00000, 21628.00000
66.94000, 273.00000, 23974.00000
66.99000, 273.00000, 21716.00000
67.04000, 271.00000, 20732.00000
67.09000, 271.00000, 21812.00000
67.14000, 266.00000, 21548.00000
67.19000, 259.00000, 21744.00000
67.24000, 256.00000, 21636.00000
67.29000, 272.00000, 21550.00000
67.34000, 273.00000, 21570.00000
67.39000, 272.00000, 21578.00000
67.44000, 271.00000, 21602.00000
67.49000, 274.00000, 21676.00000
67.54000, 273.00000, 21666.00000
67.59000, 274.00000, 21582.00000
