t, ir 
66.38000, 241.00000
66.43000, 241.00000
66.48000, 241.00000
66.53000, 241.00000
66.58000, 241.00000
66.63000, 241.00000
66.68000, 241.00000
66.73000, 241.00000
66.78000, 241.00000
66.83000, 241.00000
66.88000, 241.00000
66.93000, 242.00000
66.98000, 241.00000
67.03000, 241.00000
67.08000, 245.00000
67.13000, 259.00000
67.18000, 245.00000
67.23000, 236.00000
67.28000, 238.00000
67.33000, 239.00000
67.38000, 241.00000
67.43000, 241.00000
67.48000, 239.00000
67.53000, 239.00000
67.58000, 240.00000
67.63000, 241.00000
67.68000, 241.00000
67.73000, 241.00000
67.78000, 241.00000
67.83000, 241.00000
67.88000, 241.00000
67.93000, 241.00000
67.98000, 241.00000
68.03000, 241.00000
68.08000, 241.00000
68.13000, 241.00000
68.18000, 241.00000
68.23000, 241.00000
68.28000, 244.00000
68.33000, 258.00000
68.38000, 247.00000
68.43000, 236.00000
68.48000, 237.00000
68.53000, 239.00000
68.58000, 242.00000
68.63000, 242.00000
68.68000, 239.00000
68.73000, 239.00000
68.78000, 240.00000
68.83000, 241.00000
68.88000, 241.00000
68.93000, 242.00000
68.98000, 241.00000
69.03000, 241.00000
69.08000, 241.00000
69.13000, 241.00000
69.18000, 241.00000
69.23000, 241.00000
69.28000, 241.00000
69.33000, 241.00000
69.38000, 241.00000
69.43000, 242.00000
69.48000, 254.00000
69.53000, 251.00000
69.58000, 237.00000
69.63000, 238.00000
69.68000, 239.00000
69.73000, 239.00000
69.78000, 241.00000
69.83000, 240.00000
69.88000, 238.00000
69.93000, 239.00000
69.98000, 239.00000
70.03000, 240.00000
70.08000, 241.00000
70.13000, 241.00000
70.18000, 241.00000
70.23000, 241.00000
70.28000, 241.00000
70.33000, 241.00000
70.38000, 241.00000
70.43000, 241.00000
70.48000, 241.00000
70.53000, 241.00000
70.58000, 241.00000
70.63000, 241.00000
70.68000, 241.00000
70.73000, 240.00000
70.78000, 244.00000
70.83000, 257.00000
70.88000, 244.00000
70.93000, 236.00000
70.98000, 239.00000
71.03000, 239.00000
71.08000, 241.00000
71.13000, 242.00000
71.18000, 240.00000
71.23000, 240.00000
71.28000, 240.00000
71.33000, 241.00000
71.38000, 241.00000
71.43000, 241.00000
71.48000, 242.00000
71.53000, 241.00000
71.58000, 242.00000
71.63000, 242.00000
71.68000, 241.00000
71.73000, 241.00000
71.78000, 241.00000
71.83000, 241.00000
71.88000, 242.00000
71.93000, 241.00000
71.98000, 241.00000
72.03000, 246.00000
72.08000, 256.00000
72.13000, 241.00000
72.18000, 236.00000
72.23000, 237.00000
72.28000, 239.00000
72.33000, 242.00000
72.38000, 241.00000
72.43000, 239.00000
72.48000, 240.00000
72.53000, 241.00000
72.58000, 241.00000
72.63000, 242.00000
72.68000, 242.00000
72.73000, 241.00000
72.78000, 241.00000
72.83000, 241.00000
72.88000, 241.00000
72.93000, 241.00000
72.98000, 242.00000
73.03000, 241.00000
73.08000, 242.00000
73.13000, 241.00000
73.18000, 241.00000
73.23000, 254.00000
73.28000, 251.00000
73.33000, 239.00000
73.38000, 238.00000
73.43000, 239.00000
73.48000, 239.00000
73.53000, 242.00000
73.58000, 240.00000
73.63000, 239.00000
73.68000, 239.00000
73.73000, 240.00000
73.78000, 241.00000
73.83000, 241.00000
73.88000, 241.00000
73.93000, 242.00000
73.98000, 241.00000
74.03000, 241.00000
74.08000, 241.00000
74.13000, 241.00000
74.18000, 241.00000
74.23000, 241.00000
74.28000, 243.00000
74.33000, 241.00000
74.38000, 240.00000
74.43000, 241.00000
74.48000, 241.00000
74.53000, 246.00000
74.58000, 255.00000
74.63000, 241.00000
74.68000, 237.00000
74.73000, 239.00000
74.78000, 240.00000
74.83000, 241.00000
74.88000, 241.00000
74.93000, 240.00000
74.98000, 241.00000
75.03000, 240.00000
75.08000, 241.00000
75.13000, 242.00000
75.18000, 241.00000
75.23000, 240.00000
75.28000, 242.00000
75.33000, 242.00000
75.38000, 242.00000
75.43000, 242.00000
75.48000, 242.00000
75.53000, 241.00000
75.58000, 241.00000
75.63000, 241.00000
75.68000, 242.00000
75.73000, 245.00000
75.78000, 254.00000
75.83000, 244.00000
75.88000, 237.00000
75.93000, 239.00000
75.98000, 240.00000
76.03000, 243.00000
76.08000, 242.00000
76.13000, 240.00000
76.18000, 240.00000
76.23000, 241.00000
76.28000, 242.00000
76.33000, 242.00000
76.38000, 242.00000
76.43000, 241.00000
76.48000, 241.00000
76.53000, 241.00000
76.58000, 242.00000
76.63000, 241.00000
76.68000, 241.00000
76.73000, 242.00000
76.78000, 242.00000
76.83000, 241.00000
76.88000, 242.00000
76.93000, 246.00000
76.98000, 253.00000
77.03000, 241.00000
77.08000, 237.00000
77.13000, 240.00000
77.18000, 239.00000
77.23000, 241.00000
77.28000, 241.00000
77.33000, 240.00000
77.38000, 240.00000
77.43000, 241.00000
77.48000, 241.00000
77.53000, 242.00000
77.58000, 241.00000
77.63000, 241.00000
77.68000, 241.00000
77.73000, 241.00000
77.78000, 241.00000
77.83000, 241.00000
77.88000, 241.00000
77.93000, 241.00000
77.98000, 241.00000
78.03000, 241.00000
78.08000, 241.00000
78.13000, 241.00000
78.18000, 242.00000
78.23000, 250.00000
78.28000, 249.00000
78.33000, 238.00000
78.38000, 238.00000
78.43000, 239.00000
78.48000, 241.00000
78.53000, 242.00000
78.58000, 240.00000
78.63000, 240.00000
78.68000, 240.00000
78.73000, 241.00000
78.78000, 241.00000
78.83000, 241.00000
78.88000, 241.00000
78.93000, 241.00000
78.98000, 241.00000
79.03000, 241.00000
79.08000, 241.00000
79.13000, 241.00000
79.18000, 241.00000
79.23000, 241.00000
79.28000, 241.00000
79.33000, 241.00000
79.38000, 241.00000
79.43000, 244.00000
79.48000, 263.00000
79.53000, 247.00000
79.58000, 242.00000
79.63000, 243.00000
79.68000, 242.00000
79.73000, 242.00000
79.78000, 243.00000
79.83000, 242.00000
79.88000, 240.00000
79.93000, 239.00000
79.98000, 238.00000
80.03000, 237.00000
80.08000, 237.00000
80.13000, 238.00000
80.18000, 240.00000
80.23000, 240.00000
80.28000, 240.00000
80.33000, 240.00000
80.38000, 241.00000
80.43000, 242.00000
80.48000, 241.00000
80.53000, 242.00000
80.58000, 242.00000
80.63000, 242.00000
80.68000, 242.00000
80.73000, 242.00000
80.78000, 242.00000
80.83000, 242.00000
80.88000, 251.00000
80.93000, 258.00000
80.98000, 240.00000
81.03000, 236.00000
81.08000, 239.00000
81.13000, 240.00000
81.18000, 242.00000
81.23000, 242.00000
81.28000, 240.00000
81.33000, 240.00000
81.38000, 241.00000
81.43000, 241.00000
81.48000, 241.00000
81.53000, 242.00000
81.58000, 242.00000
81.63000, 242.00000
81.68000, 241.00000
81.73000, 241.00000
