t, reading, IMUVal 
60.46000, 296.00000, 24194.00000 
60.51000, 269.00000, 23476.00000 
60.56000, 258.00000, 23764.00000 
60.61000, 256.00000, 25438.00000 
60.66000, 255.00000, 27390.00000 
60.71000, 255.00000, 30666.00000 
60.76000, 255.00000, 34026.00000 
60.81000, 256.00000, 33944.00000 
60.86000, 257.00000, 34402.00000 
60.91000, 258.00000, 31180.00000 
60.96000, 261.00000, 28776.00000 
61.01000, 263.00000, 28464.00000 
61.06000, 264.00000, 24776.00000 
61.11000, 265.00000, 25594.00000 
61.16000, 267.00000, 26726.00000 
61.21000, 269.00000, 28120.00000 
61.26000, 268.00000, 29118.00000 
61.31000, 266.00000, 28022.00000 
61.36000, 266.00000, 26634.00000 
61.41000, 267.00000, 24082.00000 
61.46000, 268.00000, 20722.00000 
61.51000, 270.00000, 20528.00000 
61.56000, 274.00000, 22902.00000 
61.61000, 287.00000, 19384.00000 
61.66000, 304.00000, 21012.00000 
61.71000, 302.00000, 23130.00000 
61.76000, 274.00000, 22682.00000 
61.81000, 259.00000, 22442.00000 
61.86000, 256.00000, 24284.00000 
61.91000, 255.00000, 26744.00000 
61.96000, 254.00000, 29140.00000 
62.01000, 255.00000, 32128.00000 
62.06000, 256.00000, 32064.00000 
62.11000, 256.00000, 33646.00000 
62.16000, 257.00000, 33452.00000 
62.21000, 258.00000, 30880.00000 
62.26000, 261.00000, 28388.00000 
62.31000, 262.00000, 23766.00000 
62.36000, 264.00000, 25116.00000 
62.41000, 265.00000, 27752.00000 
62.46000, 267.00000, 28850.00000 
62.51000, 268.00000, 28800.00000 
62.56000, 266.00000, 27222.00000 
62.61000, 265.00000, 25774.00000 
62.66000, 267.00000, 26072.00000 
62.71000, 268.00000, 21930.00000 
62.76000, 271.00000, 19608.00000 
62.81000, 276.00000, 20636.00000 
62.86000, 284.00000, 20312.00000 
62.91000, 298.00000, 24200.00000 
62.96000, 310.00000, 25000.00000 
63.01000, 281.00000, 22772.00000 
63.06000, 264.00000, 22770.00000 
63.11000, 257.00000, 25132.00000 
63.16000, 255.00000, 27764.00000 
63.21000, 254.00000, 30130.00000 
63.26000, 254.00000, 32616.00000 
63.31000, 255.00000, 32154.00000 
63.36000, 256.00000, 32282.00000 
63.41000, 256.00000, 33382.00000 
63.46000, 258.00000, 31238.00000 
63.51000, 260.00000, 30718.00000 
63.56000, 261.00000, 27278.00000 
63.61000, 263.00000, 25932.00000 
63.66000, 265.00000, 27088.00000 
63.71000, 269.00000, 28084.00000 
63.76000, 268.00000, 28336.00000 
63.81000, 265.00000, 27500.00000 
63.86000, 265.00000, 26046.00000 
63.91000, 265.00000, 25780.00000 
63.96000, 266.00000, 23092.00000 
64.01000, 268.00000, 20796.00000 
64.06000, 272.00000, 18632.00000 
64.11000, 280.00000, 18550.00000 
64.16000, 294.00000, 22150.00000 
64.21000, 303.00000, 24188.00000 
64.26000, 278.00000, 22800.00000 
64.31000, 262.00000, 22844.00000 
64.36000, 257.00000, 24762.00000 
64.41000, 256.00000, 26124.00000 
64.46000, 256.00000, 28336.00000 
64.51000, 256.00000, 31924.00000 
64.56000, 257.00000, 31132.00000 
64.61000, 258.00000, 31212.00000 
64.66000, 258.00000, 32434.00000 
64.71000, 260.00000, 32532.00000 
64.76000, 261.00000, 30220.00000 
64.81000, 262.00000, 26246.00000 
64.86000, 263.00000, 26326.00000 
64.91000, 264.00000, 27354.00000 
64.96000, 266.00000, 27572.00000 
65.01000, 269.00000, 27476.00000 
65.06000, 269.00000, 26740.00000 
65.11000, 266.00000, 25898.00000 
65.16000, 267.00000, 25368.00000 
65.21000, 268.00000, 22352.00000 
65.26000, 272.00000, 19340.00000 
65.31000, 275.00000, 21608.00000 
65.36000, 284.00000, 20514.00000 
65.41000, 297.00000, 22222.00000 
65.46000, 311.00000, 24802.00000 
65.51000, 292.00000, 22856.00000 
65.56000, 268.00000, 22224.00000 
65.61000, 258.00000, 24068.00000 
65.66000, 255.00000, 25764.00000 
65.71000, 254.00000, 29966.00000 
65.76000, 255.00000, 31394.00000 
65.81000, 257.00000, 30124.00000 
65.86000, 258.00000, 29368.00000 
65.91000, 258.00000, 31304.00000 
65.96000, 259.00000, 30110.00000 
66.01000, 262.00000, 30948.00000 
66.06000, 263.00000, 27874.00000 
66.11000, 264.00000, 27102.00000 
66.16000, 263.00000, 29658.00000 
66.21000, 263.00000, 30446.00000 
66.26000, 264.00000, 29436.00000 
66.31000, 266.00000, 27646.00000 
66.36000, 265.00000, 25634.00000 
66.41000, 265.00000, 25088.00000 
66.46000, 266.00000, 22852.00000 
66.51000, 268.00000, 20596.00000 
66.56000, 274.00000, 21336.00000 
66.61000, 282.00000, 21794.00000 
66.66000, 297.00000, 20926.00000 
66.71000, 307.00000, 23500.00000 
66.76000, 296.00000, 23130.00000 
66.81000, 271.00000, 22122.00000 
66.86000, 259.00000, 24680.00000 
66.91000, 255.00000, 26282.00000 
66.96000, 254.00000, 26828.00000 
67.01000, 254.00000, 29456.00000 
67.06000, 255.00000, 31218.00000 
67.11000, 256.00000, 29780.00000 
67.16000, 256.00000, 33028.00000 
67.21000, 258.00000, 32488.00000 
67.26000, 259.00000, 29424.00000 
67.31000, 261.00000, 29046.00000 
67.36000, 263.00000, 27154.00000 
67.41000, 263.00000, 27412.00000 
67.46000, 264.00000, 29468.00000 
67.51000, 265.00000, 29424.00000 
67.56000, 268.00000, 28048.00000 
67.61000, 266.00000, 26936.00000 
67.66000, 267.00000, 26486.00000 
67.71000, 269.00000, 24828.00000 
67.76000, 269.00000, 20914.00000 
67.81000, 274.00000, 20152.00000 
67.86000, 284.00000, 22846.00000 
67.91000, 294.00000, 21154.00000 
67.96000, 305.00000, 22788.00000 
68.01000, 313.00000, 26012.00000 
68.06000, 289.00000, 22706.00000 
68.11000, 263.00000, 20468.00000 
68.16000, 256.00000, 25442.00000 
68.21000, 253.00000, 28564.00000 
68.26000, 252.00000, 29366.00000 
68.31000, 252.00000, 31670.00000 
68.36000, 253.00000, 30002.00000 
68.41000, 254.00000, 30618.00000 
68.46000, 255.00000, 31860.00000 
68.51000, 257.00000, 30200.00000 
68.56000, 258.00000, 30126.00000 
68.61000, 259.00000, 28926.00000 
68.66000, 261.00000, 28228.00000 
68.71000, 262.00000, 28038.00000 
68.76000, 263.00000, 28622.00000 
68.81000, 265.00000, 29168.00000 
68.86000, 265.00000, 28128.00000 
68.91000, 263.00000, 26856.00000 
68.96000, 264.00000, 25276.00000 
69.01000, 266.00000, 25820.00000 
69.06000, 267.00000, 21310.00000 
69.11000, 271.00000, 19882.00000 
69.16000, 278.00000, 20942.00000 
69.21000, 291.00000, 21854.00000 
69.26000, 307.00000, 23588.00000 
69.31000, 313.00000, 24948.00000 
