t, reading, IMUVal 
15.45000, 274.00000, 24288.00000 
15.50000, 273.00000, 25346.00000 
15.55000, 273.00000, 27172.00000 
15.60000, 272.00000, 27946.00000 
15.65000, 271.00000, 29776.00000 
15.70000, 271.00000, 31144.00000 
15.75000, 271.00000, 31580.00000 
15.80000, 270.00000, 31490.00000 
15.85000, 270.00000, 32164.00000 
15.90000, 270.00000, 32002.00000 
15.95000, 269.00000, 32906.00000 
16.00000, 269.00000, 32222.00000 
16.05000, 269.00000, 33512.00000 
16.10000, 268.00000, 33708.00000 
16.15000, 268.00000, 33464.00000 
16.20000, 268.00000, 32848.00000 
16.25000, 268.00000, 32902.00000 
16.30000, 268.00000, 32498.00000 
16.35000, 268.00000, 32314.00000 
16.40000, 268.00000, 32300.00000 
16.45000, 268.00000, 31708.00000 
16.50000, 268.00000, 31916.00000 
16.55000, 268.00000, 31804.00000 
16.60000, 268.00000, 31000.00000 
16.65000, 268.00000, 30760.00000 
16.70000, 268.00000, 30130.00000 
16.75000, 268.00000, 31426.00000 
16.80000, 268.00000, 29888.00000 
16.85000, 268.00000, 29520.00000 
16.90000, 268.00000, 29324.00000 
16.95000, 268.00000, 29878.00000 
17.00000, 268.00000, 29430.00000 
17.05000, 268.00000, 29626.00000 
17.10000, 268.00000, 28912.00000 
17.15000, 268.00000, 29266.00000 
17.20000, 268.00000, 28724.00000 
17.25000, 268.00000, 29036.00000 
17.30000, 268.00000, 28560.00000 
17.35000, 268.00000, 28652.00000 
17.40000, 268.00000, 29238.00000 
17.45000, 268.00000, 28922.00000 
17.50000, 268.00000, 28412.00000 
17.55000, 268.00000, 28428.00000 
17.60000, 268.00000, 27444.00000 
17.65000, 268.00000, 28276.00000 
17.70000, 268.00000, 28196.00000 
