t, ir, imu 
320.71000, 213.00000, 30250.00000
320.76000, 213.00000, 27896.00000
320.81000, 213.00000, 21114.00000
320.86000, 214.00000, 18740.00000
320.91000, 216.00000, 18820.00000
320.96000, 215.00000, 13714.00000
321.01000, 214.00000, 13152.00000
321.06000, 216.00000, 21394.00000
321.11000, 216.00000, 27846.00000
321.16000, 204.00000, 25916.00000
321.21000, 217.00000, 24042.00000
321.26000, 211.00000, 23340.00000
321.31000, 215.00000, 25498.00000
321.36000, 217.00000, 27062.00000
321.41000, 219.00000, 28548.00000
321.46000, 221.00000, 26366.00000
321.51000, 218.00000, 25272.00000
321.56000, 206.00000, 24012.00000
321.61000, 222.00000, 21670.00000
321.66000, 216.00000, 19946.00000
321.71000, 222.00000, 18768.00000
321.76000, 222.00000, 16050.00000
321.81000, 223.00000, 13842.00000
321.86000, 219.00000, 15466.00000
321.91000, 218.00000, 19368.00000
321.96000, 211.00000, 22064.00000
322.01000, 224.00000, 24632.00000
322.06000, 209.00000, 28090.00000
322.11000, 222.00000, 29734.00000
322.16000, 222.00000, 29426.00000
322.21000, 228.00000, 28448.00000
322.26000, 227.00000, 26170.00000
322.31000, 213.00000, 22892.00000
322.36000, 228.00000, 20798.00000
322.41000, 229.00000, 18492.00000
322.46000, 223.00000, 15846.00000
322.51000, 228.00000, 13976.00000
322.56000, 231.00000, 16534.00000
322.61000, 231.00000, 17802.00000
322.66000, 232.00000, 22848.00000
322.71000, 229.00000, 25772.00000
322.76000, 234.00000, 26732.00000
322.81000, 235.00000, 28412.00000
322.86000, 235.00000, 27762.00000
322.91000, 235.00000, 27240.00000
322.96000, 238.00000, 26974.00000
323.01000, 236.00000, 23170.00000
323.06000, 242.00000, 21650.00000
323.11000, 242.00000, 19258.00000
323.16000, 244.00000, 18098.00000
323.21000, 246.00000, 15612.00000
323.26000, 242.00000, 13586.00000
323.31000, 248.00000, 16750.00000
323.36000, 234.00000, 19560.00000
323.41000, 238.00000, 23400.00000
323.46000, 250.00000, 28698.00000
323.51000, 251.00000, 30028.00000
323.56000, 250.00000, 28480.00000
323.61000, 254.00000, 27780.00000
323.66000, 255.00000, 27280.00000
323.71000, 254.00000, 23966.00000
323.76000, 255.00000, 20646.00000
323.81000, 246.00000, 18914.00000
323.86000, 258.00000, 16606.00000
323.91000, 257.00000, 16108.00000
323.96000, 256.00000, 13352.00000
324.01000, 260.00000, 18466.00000
324.06000, 258.00000, 20346.00000
324.11000, 260.00000, 25096.00000
324.16000, 250.00000, 31016.00000
324.21000, 261.00000, 32128.00000
324.26000, 263.00000, 31138.00000
324.31000, 263.00000, 27684.00000
324.36000, 263.00000, 24070.00000
324.41000, 265.00000, 20164.00000
324.46000, 268.00000, 19242.00000
324.51000, 269.00000, 18886.00000
324.56000, 270.00000, 15984.00000
324.61000, 269.00000, 15638.00000
324.66000, 272.00000, 16650.00000
324.71000, 271.00000, 19298.00000
324.76000, 273.00000, 24478.00000
324.81000, 262.00000, 26200.00000
324.86000, 275.00000, 25010.00000
324.91000, 274.00000, 26282.00000
324.96000, 275.00000, 25562.00000
325.01000, 277.00000, 24496.00000
325.06000, 278.00000, 26540.00000
325.11000, 278.00000, 27422.00000
325.16000, 267.00000, 24212.00000
325.21000, 279.00000, 22996.00000
325.26000, 282.00000, 21236.00000
325.31000, 282.00000, 16044.00000
325.36000, 283.00000, 15366.00000
325.41000, 284.00000, 12052.00000
325.46000, 275.00000, 17980.00000
325.51000, 285.00000, 23248.00000
325.56000, 285.00000, 25870.00000
325.61000, 282.00000, 24074.00000
325.66000, 288.00000, 27198.00000
325.71000, 284.00000, 27266.00000
325.76000, 285.00000, 22264.00000
325.81000, 286.00000, 23854.00000
325.86000, 278.00000, 27540.00000
325.91000, 283.00000, 25166.00000
325.96000, 263.00000, -24664.00000
326.01000, 253.00000, 21432.00000
326.06000, 247.00000, 21982.00000
326.11000, 249.00000, 21508.00000
326.16000, 250.00000, 21656.00000
326.21000, 235.00000, 21478.00000
326.26000, 249.00000, 21534.00000
326.31000, 241.00000, 21908.00000
326.36000, 235.00000, 21726.00000
326.41000, 237.00000, 21504.00000
326.46000, 243.00000, 21844.00000
326.51000, 241.00000, 21872.00000
326.56000, 242.00000, 21660.00000
326.61000, 240.00000, 22020.00000
326.66000, 241.00000, 21658.00000
326.71000, 241.00000, 21722.00000
326.76000, 240.00000, 21852.00000
326.81000, 240.00000, 21676.00000
326.86000, 233.00000, 21826.00000
326.91000, 239.00000, 21778.00000
326.96000, 229.00000, 21638.00000
327.01000, 239.00000, 21756.00000
327.06000, 238.00000, 21790.00000
327.11000, 238.00000, 21640.00000
327.16000, 239.00000, 21708.00000
327.21000, 239.00000, 21810.00000
327.26000, 218.00000, 21754.00000
327.31000, 220.00000, 21720.00000
327.36000, 238.00000, 21596.00000
327.41000, 238.00000, 21588.00000
327.46000, 237.00000, 21882.00000
327.51000, 238.00000, 21694.00000
327.56000, 238.00000, 21710.00000
327.61000, 237.00000, 21874.00000
327.66000, 237.00000, 21820.00000
327.71000, 237.00000, 21726.00000
327.76000, 239.00000, 21792.00000
327.81000, 229.00000, 21886.00000
327.86000, 238.00000, 21634.00000
327.91000, 218.00000, 21850.00000
327.96000, 238.00000, 21662.00000
328.01000, 235.00000, 21746.00000
328.06000, 237.00000, 21928.00000
328.16000, 238.00000, 21632.00000
328.21000, 237.00000, 21808.00000
328.26000, 238.00000, 21754.00000
328.31000, 220.00000, 21442.00000
