t, ir, imu 
371.19000, 218.00000, 22020.00000
371.24000, 222.00000, 21584.00000
371.29000, 221.00000, 22054.00000
371.34000, 219.00000, 21724.00000
371.39000, 221.00000, 23140.00000
371.44000, 211.00000, 17210.00000
371.49000, 220.00000, 22968.00000
371.54000, 221.00000, 21136.00000
371.59000, 221.00000, 21868.00000
371.64000, 221.00000, 21754.00000
371.69000, 209.00000, 21844.00000
371.74000, 223.00000, 21676.00000
371.79000, 221.00000, 21914.00000
371.84000, 221.00000, 21776.00000
371.89000, 222.00000, 21814.00000
371.94000, 221.00000, 21896.00000
371.99000, 222.00000, 21548.00000
372.04000, 220.00000, 21906.00000
372.09000, 221.00000, 21650.00000
372.14000, 222.00000, 21642.00000
372.19000, 217.00000, 21840.00000
372.24000, 221.00000, 21694.00000
372.29000, 220.00000, 21770.00000
372.34000, 201.00000, 21860.00000
372.39000, 221.00000, 21766.00000
372.44000, 221.00000, 21806.00000
372.49000, 222.00000, 21798.00000
372.54000, 220.00000, 21904.00000
372.59000, 220.00000, 21782.00000
372.64000, 221.00000, 21896.00000
372.69000, 222.00000, 21860.00000
372.74000, 223.00000, 21660.00000
372.79000, 212.00000, 21954.00000
372.84000, 221.00000, 21750.00000
372.89000, 223.00000, 21758.00000
372.94000, 222.00000, 21832.00000
372.99000, 222.00000, 21656.00000
373.04000, 223.00000, 21698.00000
373.09000, 221.00000, 21826.00000
373.14000, 222.00000, 21714.00000
373.19000, 221.00000, 21966.00000
373.24000, 220.00000, 21702.00000
373.29000, 218.00000, 21796.00000
373.34000, 222.00000, 21848.00000
373.39000, 221.00000, 21628.00000
373.44000, 221.00000, 21768.00000
373.49000, 222.00000, 21686.00000
373.54000, 217.00000, 21746.00000
373.59000, 222.00000, 21766.00000
373.64000, 217.00000, 21692.00000
373.69000, 221.00000, 21818.00000
373.74000, 223.00000, 21834.00000
373.79000, 222.00000, 21818.00000
373.84000, 222.00000, 21674.00000
373.89000, 222.00000, 21764.00000
373.94000, 223.00000, 21768.00000
373.99000, 222.00000, 21792.00000
374.04000, 222.00000, 21682.00000
374.09000, 221.00000, 21778.00000
374.14000, 222.00000, 21666.00000
374.19000, 222.00000, 21870.00000
374.24000, 219.00000, 21624.00000
374.29000, 221.00000, 21684.00000
374.34000, 222.00000, 21786.00000
374.39000, 214.00000, 21846.00000
374.44000, 222.00000, 21820.00000
374.49000, 222.00000, 21720.00000
374.54000, 217.00000, 21742.00000
374.59000, 216.00000, 21808.00000
374.64000, 222.00000, 21784.00000
374.69000, 220.00000, 21762.00000
374.74000, 219.00000, 21690.00000
374.79000, 222.00000, 21776.00000
374.84000, 220.00000, 21764.00000
374.89000, 219.00000, 21720.00000
374.94000, 223.00000, 21812.00000
374.99000, 220.00000, 21752.00000
375.04000, 222.00000, 21708.00000
375.09000, 222.00000, 21712.00000
375.14000, 220.00000, 21756.00000
375.19000, 218.00000, 21628.00000
375.24000, 209.00000, 21794.00000
375.29000, 210.00000, 21718.00000
375.34000, 222.00000, 21572.00000
375.39000, 222.00000, 21888.00000
375.44000, 221.00000, 21802.00000
375.49000, 221.00000, 21792.00000
375.54000, 219.00000, 21744.00000
375.59000, 221.00000, 21766.00000
375.64000, 220.00000, 21792.00000
375.69000, 200.00000, 21832.00000
375.74000, 222.00000, 21764.00000
375.79000, 223.00000, 21816.00000
375.84000, 217.00000, 21804.00000
375.89000, 221.00000, 21692.00000
375.94000, 223.00000, 21902.00000
375.99000, 221.00000, 21720.00000
376.04000, 219.00000, 21788.00000
376.09000, 222.00000, 21836.00000
376.14000, 218.00000, 21744.00000
376.19000, 215.00000, 21680.00000
376.24000, 220.00000, 21820.00000
376.29000, 220.00000, 27452.00000
376.34000, 221.00000, 20616.00000
376.39000, 220.00000, 20974.00000
376.44000, 220.00000, 21318.00000
376.49000, 222.00000, 22138.00000
376.54000, 223.00000, 22186.00000
376.59000, 213.00000, 21562.00000
376.64000, 213.00000, 21350.00000
376.69000, 221.00000, 21590.00000
376.74000, 222.00000, 21700.00000
376.79000, 221.00000, 21752.00000
376.84000, 222.00000, 22004.00000
376.89000, 220.00000, 21548.00000
376.94000, 221.00000, 21666.00000
376.99000, 217.00000, 21944.00000
377.04000, 220.00000, 21696.00000
377.09000, 220.00000, 22064.00000
377.14000, 199.00000, 21684.00000
377.19000, 222.00000, 21762.00000
377.24000, 222.00000, 21822.00000
377.29000, 221.00000, 21772.00000
377.34000, 221.00000, 21864.00000
377.39000, 210.00000, 21714.00000
377.44000, 220.00000, 21670.00000
377.49000, 219.00000, 21818.00000
377.54000, 222.00000, 21610.00000
377.59000, 221.00000, 21836.00000
377.64000, 221.00000, 24112.00000
377.69000, 222.00000, 24942.00000
377.74000, 222.00000, 22414.00000
377.79000, 220.00000, 21478.00000
377.84000, 221.00000, 21456.00000
377.89000, 221.00000, 21470.00000
377.94000, 223.00000, 22034.00000
377.99000, 222.00000, 21964.00000
378.04000, 221.00000, 21882.00000
378.09000, 221.00000, 21656.00000
378.14000, 221.00000, 21592.00000
378.19000, 222.00000, 21808.00000
378.24000, 211.00000, 21738.00000
378.29000, 223.00000, 21706.00000
378.34000, 221.00000, 21680.00000
378.39000, 222.00000, 21504.00000
378.44000, 221.00000, 21806.00000
378.49000, 220.00000, 21792.00000
378.54000, 221.00000, 21772.00000
378.59000, 221.00000, 21906.00000
378.64000, 222.00000, 21640.00000
378.69000, 220.00000, 21902.00000
378.74000, 220.00000, 21772.00000
378.79000, 221.00000, 21750.00000
378.84000, 220.00000, 21898.00000
378.89000, 220.00000, 21838.00000
378.94000, 222.00000, 21648.00000
378.99000, 222.00000, 21858.00000
